base_graph_id,n,d,k,greedy,optimum,upper,initial_upper,certified_optimal,initial_certified_optimal,trivial_endpoint,tightening,upper_over_optimum,relative_upper_slack,greedy_ratio,certified_ratio,relative_gap_bound
r2-exploration-n12-d2-r0007,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0007,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0007,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0007,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0007,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0007,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,5,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,6,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,9,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0008,12,2,12,8,8,8,8,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0009,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0009,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0009,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0009,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0009,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0009,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0009,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0010,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0010,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0010,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0010,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0010,12,2,6,10,12,12,12,0,0,0,0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666663
r2-exploration-n12-d2-r0010,12,2,9,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0010,12,2,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0011,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0011,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0011,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0011,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0011,12,2,6,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0011,12,2,9,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0011,12,2,12,10,10,10,10,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0012,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0012,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0012,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0012,12,2,5,9,9,10,10,0,0,0,0,1.1111111111111112,0.1111111111111111,1.0,0.9,0.09999999999999998
r2-exploration-n12-d2-r0012,12,2,6,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0012,12,2,9,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0012,12,2,12,10,10,10,10,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0013,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0013,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0013,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0013,12,2,5,9,9,10,10,0,0,0,0,1.1111111111111112,0.1111111111111111,1.0,0.9,0.09999999999999998
r2-exploration-n12-d2-r0013,12,2,6,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0013,12,2,9,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0013,12,2,12,10,10,10,10,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0014,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0014,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0014,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0014,12,2,5,9,9,10,10,0,0,0,0,1.1111111111111112,0.1111111111111111,1.0,0.9,0.09999999999999998
r2-exploration-n12-d2-r0014,12,2,6,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0014,12,2,9,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0014,12,2,12,10,10,10,10,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0015,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0015,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0015,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0015,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0015,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0015,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0015,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0016,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0016,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0016,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0016,12,2,5,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0016,12,2,6,11,11,12,12,0,0,0,0,1.0909090909090908,0.09090909090909091,1.0,0.9166666666666666,0.08333333333333337
r2-exploration-n12-d2-r0016,12,2,9,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0016,12,2,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,5,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,6,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,9,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0017,12,2,12,8,8,8,8,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0018,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0018,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0018,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0018,12,2,5,8,9,9,9,0,0,0,0,1.0,0.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
r2-exploration-n12-d2-r0018,12,2,6,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0018,12,2,9,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0018,12,2,12,9,9,9,9,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0019,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0019,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0019,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0019,12,2,5,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0019,12,2,6,11,12,12,12,0,0,0,0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333337
r2-exploration-n12-d2-r0019,12,2,9,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0019,12,2,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,5,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,6,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,9,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0020,12,2,12,9,9,9,9,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0021,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0021,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0021,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0021,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0021,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0021,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0021,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0022,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0022,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0022,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0022,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0022,12,2,6,10,11,12,12,0,0,0,0,1.0909090909090908,0.09090909090909091,0.9090909090909091,0.8333333333333334,0.16666666666666663
r2-exploration-n12-d2-r0022,12,2,9,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0022,12,2,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0023,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0023,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0023,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0023,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0023,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0023,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0023,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0024,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0024,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0024,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0024,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0024,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0024,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0024,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0025,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0025,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0025,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0025,12,2,5,9,9,10,10,0,0,0,0,1.1111111111111112,0.1111111111111111,1.0,0.9,0.09999999999999998
r2-exploration-n12-d2-r0025,12,2,6,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0025,12,2,9,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0025,12,2,12,10,10,10,10,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0026,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0026,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0026,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0026,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-exploration-n12-d2-r0026,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0026,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0026,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0027,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0027,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0027,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0027,12,2,5,9,9,10,10,0,0,0,0,1.1111111111111112,0.1111111111111111,1.0,0.9,0.09999999999999998
r2-exploration-n12-d2-r0027,12,2,6,10,10,11,11,0,0,0,0,1.1,0.1,1.0,0.9090909090909091,0.09090909090909094
r2-exploration-n12-d2-r0027,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0027,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,5,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,6,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,9,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0028,12,2,12,9,9,9,9,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,5,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,6,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,9,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0029,12,2,12,10,10,10,10,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,5,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,6,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0030,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0031,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0031,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0031,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0031,12,2,5,8,9,10,10,0,0,0,0,1.1111111111111112,0.1111111111111111,0.8888888888888888,0.8,0.19999999999999996
r2-exploration-n12-d2-r0031,12,2,6,9,10,11,11,0,0,0,0,1.1,0.1,0.9,0.8181818181818182,0.18181818181818177
r2-exploration-n12-d2-r0031,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0031,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0032,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-exploration-n12-d2-r0032,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
